,sample_№,"inference_time, сек.",2-WD_max,2-WD,"delta_W, %",mean_opt,mean,"delta_mean, %",var_opt,var,"delta_var, %",cov
0,0,0.08463144302368164,0.9316759977555881,0.21675066877408208,76.73540272624437,-0.10306887328624725,-0.09535827487707138,7.481015522272831,0.996504008769989,1.0259355306625366,2.953477520765391,0.609192967414856
1,1,0.08340144157409668,0.9251883153903461,0.21560450906188794,76.69614872179591,-0.10306887328624725,-0.09215699881315231,10.586973666424022,0.996504008769989,1.0311167240142822,3.473414551238644,0.6119422912597656
2,2,0.08091163635253906,0.9183373470941778,0.22188161303077758,75.8387684293947,-0.10306887328624725,-0.09746396541595459,5.438021869829192,0.996504008769989,1.028090476989746,3.1697281638380046,0.6122072339057922
3,3,0.0780954360961914,0.9366495012172471,0.2247953766659344,76.0000537689076,-0.10306887328624725,-0.09227220714092255,10.475195663912757,0.996504008769989,1.0284322500228882,3.2040253698837633,0.613599956035614
4,4,0.0809321403503418,0.9123547641185803,0.216690068815463,76.24936293013106,-0.10306887328624725,-0.09704422950744629,5.845260151499927,0.996504008769989,1.0364888906478882,4.012515908215318,0.6192283034324646
5,5,0.06255722045898438,0.9353961795130604,0.2205563754982871,76.42107373015973,-0.10306887328624725,-0.09791634976863861,4.999107250642815,0.996504008769989,1.0261867046356201,2.9786830363351204,0.6099298000335693
6,6,0.08859753608703613,0.9207252289217825,0.2309375862196106,74.91786051197374,-0.10306887328624725,-0.09527810662984848,7.558796761813749,0.996504008769989,1.0266704559326172,3.0272278783768676,0.6105799078941345
7,7,0.06249690055847168,0.9206191976019743,0.2344640742180101,74.53191560324386,-0.10306887328624725,-0.09521549195051193,7.619547090540688,0.996504008769989,1.0363779067993164,4.001378587382181,0.617035984992981
8,8,0.075897216796875,0.9231825173457472,0.22464899497849994,75.66580922433509,-0.10306887328624725,-0.09556549787521362,7.279962584043136,0.996504008769989,1.0308808088302612,3.449740267749088,0.6107386350631714
9,9,0.08943533897399902,0.9234246117946574,0.21893058881344624,76.2914496736275,-0.10306887328624725,-0.0937744528055191,9.017679328768143,0.996504008769989,1.0265529155731201,3.015432606259282,0.6098514795303345
